,bleu,hypo,ref
0,0.12491408542704627,"['The', 'image', 'is', 'a', 'black', 'and', 'white', 'drawing', 'of', 'a', 'man', 'and', 'a', 'woman', 'dancing', 'together', 'The', 'man', 'is', 'wearing', 'a', 'suit', 'and', 'a', 'tie', 'while', 'the', 'woman', 'is', 'dressed', 'in', 'a', 'long', 'dress', 'They', 'are', 'both', 'in', 'motion', 'with', 'the', 'man', 's', 'tie', 'slightly', 'loosened', 'adding', 'to', 'the', 'dynamic', 'nature', 'of', 'the', 'scene', 'The', 'woman', 'is', 'holding', 'the', 'man', 's', 'tie', 'in', 'her', 'hand', 'possibly', 'as', 'part', 'of', 'their', 'dance', 'routine', 'The', 'couple', 'appears', 'to', 'be', 'enjoying', 'their', 'time', 'together', 'showcasing', 'their', 'elegance', 'and', 'grace', 'in', 'this', 'artistic', 'representation', 's']","[['The', 'image', 'is', 'a', 'black', 'and', 'white', 'illustration', 'that', 'depicts', 'a', 'man', 'and', 'a', 'woman', 'in', 'vintage', 'attire', 'The', 'man', 'is', 'wearing', 'a', 'dark', 'suit', 'with', 'a', 'vest', 'a', 'white', 'shirt', 'and', 'a', 'tie', 'He', 'also', 'has', 'a', 'top', 'hat', 'on', 'his', 'head', 'His', 'posture', 'is', 'slightly', 'bent', 'towards', 'the', 'woman', 'and', 'he', 'appears', 'to', 'be', 'in', 'motion', 'The', 'woman', 'is', 'wearing', 'a', 'dark', 'dress', 'with', 'a', 'layered', 'skirt', 'and', 'a', 'fringed', 'shawl', 'or', 'scarf', 'draped', 'around', 'her', 'shoulders', 'Her', 'hair', 'is', 'styled', 'up', 'and', 'her', 'expression', 'is', 'neutral', 'She', 'seems', 'to', 'be', 'pointing', 'to', 'something', 'out', 'of', 'the', 'frame', 'with', 'her', 'right', 'hand', 'Both', 'individuals', 'are', 'depicted', 'with', 'a', 'sense', 'of', 'movement', 'as', 'if', 'they', 'are', 'walking', 'or', 'dancing', 'The', 'illustration', 'style', 'is', 'expressive', 'with', 'heavy', 'use', 'of', 'black', 'ink', 'giving', 'it', 'a', 'dynamic', 'and', 'somewhat', 'dramatic', 'feel']]"
1,0.029134371152132084,"['The', 'image', 'is', 'a', 'floor', 'plan', 'of', 'a', 'three', 'story', 'house', 'showcasing', 'the', 'layout', 'and', 'design', 'of', 'the', 'interior', 'The', 'house', 'features', 'a', 'spacious', 'living', 'room', 'on', 'the', 'first', 'floor', 'with', 'a', 'dining', 'area', 'adjacent', 'to', 'it', 'The', 'second', 'floor', 'contains', 'a', 'kitchen', 'and', 'a', 'bedroom', 'while', 'the', 'third', 'floor', 'has', 'another', 'bedroom', 'There', 'are', 'several', 'windows', 'throughout', 'the', 'house', 'providing', 'natural', 'light', 'and', 'a', 'connection', 'to', 'the', 'outdoors', 'The', 'layout', 'is', 'designed', 'to', 'maximize', 'the', 'use', 'of', 'space', 'and', 'create', 'a', 'comfortable', 'living', 'environment', 's']","[['The', 'image', 'displays', 'a', 'detailed', 'architectural', 'floor', 'plan', 'of', 'a', 'building', 's', 'multiple', 'levels', 'identified', 'as', 'the', '1st', '3rd', '5th', 'Floor', 'Plan', 'for', 'a', 'section', 'labeled', 'P', 'WING', 'The', 'plan', 'outlines', 'various', 'rooms', 'and', 'spaces', 'within', 'the', 'structure', 'using', 'a', 'combination', 'of', 'lines', 'hatching', 'and', 'text', 'to', 'denote', 'walls', 'doors', 'and', 'room', 'functions', 'Each', 'room', 'is', 'labeled', 'with', 'designations', 'such', 'as', 'MASTER', 'BEDROOM', 'KITCHEN', 'DINING', 'LIVING', 'ROOM', 'and', 'BEDROOM', 'among', 'others', 'The', 'drawing', 'style', 'is', 'technical', 'and', 'precise', 'employing', 'a', 'top', 'down', 'view', 'commonly', 'used', 'in', 'architectural', 'design', 'to', 'convey', 'spatial', 'relationships', 'and', 'layout', 'Furniture', 'and', 'fixtures', 'are', 'represented', 'schematically', 'to', 'suggest', 'potential', 'interior', 'arrangements', 'The', 'plan', 'includes', 'annotations', 'for', 'dimensions', 'and', 'other', 'notes', 'pertinent', 'to', 'the', 'design', 'The', 'overall', 'presentation', 'is', 'monochromatic', 'with', 'shades', 'of', 'brown', 'and', 'beige', 'emphasizing', 'the', 'functional', 'aspects', 'of', 'the', 'plan', 'over', 'aesthetic', 'details']]"
2,1.1450722517431468e-78,"['The', 'image', 'features', 'a', 'large', 'white', 'couch', 'with', 'a', 'clean', 'and', 'minimalist', 'design', 'The', 'couch', 'is', 'placed', 'in', 'a', 'room', 'with', 'a', 'white', 'background', 'which', 'emphasizes', 'its', 'simplicity', 'and', 'elegance', 'The', 'couch', 'is', 'covered', 'in', 'white', 'pillows', 'adding', 'a', 'touch', 'of', 'comfort', 'and', 'style', 'to', 'the', 'overall', 'appearance', 'The', 'couch', 'is', 'positioned', 'in', 'the', 'center', 'of', 'the', 'room', 'making', 'it', 'the', 'focal', 'point', 'of', 'the', 'space', 's']","[['The', 'image', 'displays', 'a', 'white', 'two', 'seater', 'sofa', 'with', 'a', 'minimalist', 'and', 'contemporary', 'design', 'The', 'sofa', 'features', 'a', 'clean', 'and', 'streamlined', 'silhouette', 'with', 'a', 'straight', 'backrest', 'and', 'two', 'large', 'seat', 'cushions', 'The', 'backrest', 'is', 'adorned', 'with', 'three', 'white', 'fluffy', 'cushions', 'that', 'add', 'comfort', 'and', 'aesthetic', 'appeal', 'The', 'sofa', 'is', 'elevated', 'slightly', 'off', 'the', 'ground', 'by', 'four', 'small', 'dark', 'colored', 'possibly', 'wooden', 'legs', 'which', 'contrast', 'with', 'the', 'white', 'upholstery', 'The', 'overall', 'style', 'of', 'the', 'sofa', 'suggests', 'a', 'modern', 'and', 'possibly', 'luxurious', 'setting', 'The', 'background', 'is', 'plain', 'white', 'which', 'accentuates', 'the', 'sofa', 's', 'design', 'and', 'color', 'The', 'image', 'is', 'a', 'digital', 'rendering', 'or', 'a', 'photograph', 'designed', 'to', 'showcase', 'the', 'sofa', 'likely', 'for', 'retail', 'or', 'design', 'inspiration', 'purposes']]"
3,1.4541948509298192e-78,"['The', 'image', 'features', 'a', 'pair', 'of', 'colorful', 'Asics', 'shoes', 'which', 'are', 'predominantly', 'pink', 'and', 'black', 'The', 'shoes', 'are', 'placed', 'on', 'a', 'white', 'background', 'making', 'the', 'vibrant', 'colors', 'stand', 'out', 'even', 'more', 'The', 'shoes', 'are', 'designed', 'with', 'a', 'combination', 'of', 'pink', 'black', 'and', 'green', 'colors', 'creating', 'a', 'visually', 'striking', 'and', 'eye', 'catching', 'pattern', 'The', 'shoes', 'are', 'positioned', 'in', 'a', 'way', 'that', 'showcases', 'their', 'unique', 'design', 'and', 'colors', 's']","[['The', 'image', 'shows', 'a', 'pair', 'of', 'brightly', 'colored', 'athletic', 'shoes', 'against', 'a', 'white', 'background', 'The', 'shoes', 'feature', 'a', 'mix', 'of', 'vibrant', 'hues', 'including', 'pink', 'orange', 'yellow', 'green', 'and', 'black', 'The', 'design', 'includes', 'a', 'variety', 'of', 'patterns', 'such', 'as', 'stripes', 'and', 'zigzags', 'The', 'shoes', 'have', 'a', 'white', 'base', 'with', 'a', 'grid', 'like', 'pattern', 'and', 'the', 'brand', 's', 'logo', 'is', 'visible', 'on', 'the', 'side', 'displayed', 'as', 'a', 'contrasting', 'white', 'outline', 'The', 'laces', 'are', 'black', 'and', 'thread', 'through', 'fabric', 'eyelets', 'Visible', 'cushioning', 'technology', 'is', 'incorporated', 'into', 'the', 'shoe', 's', 'sole', 'with', 'pink', 'and', 'yellow', 'elements', 'The', 'shoes', 'appear', 'to', 'be', 'designed', 'for', 'running', 'given', 'their', 'structure', 'and', 'the', 'presence', 'of', 'specialized', 'soles', 'The', 'image', 'is', 'a', 'standard', 'product', 'photograph', 'with', 'a', 'focus', 'on', 'the', 'shoes', 'intended', 'to', 'showcase', 'their', 'design', 'and', 'colors']]"
4,3.1178669921194526e-155,"['The', 'image', 'features', 'a', 'headstone', 'for', 'Harvey', 'Eugene', 'Smith', 'who', 'passed', 'away', 'on', 'June', '19', '1935', 'The', 'headstone', 'is', 'made', 'of', 'marble', 'and', 'has', 'an', 'eagle', 'engraved', 'on', 'it', 'symbolizing', 'freedom', 'The', 'headstone', 'is', 'placed', 'on', 'a', 'black', 'base', 'which', 'is', 'situated', 'in', 'a', 'grassy', 'area', 'In', 'addition', 'to', 'the', 'main', 'headstone', 'there', 'are', 'two', 'smaller', 'stones', 'nearby', 'one', 'on', 'the', 'left', 'side', 'and', 'the', 'other', 'on', 'the', 'right', 'side', 'These', 'smaller', 'stones', 'may', 'be', 'related', 'to', 'the', 'deceased', 'or', 'other', 'family', 'members', 's']","[['This', 'image', 'depicts', 'a', 'headstone', 'with', 'inscriptions', 'and', 'decorative', 'elements', 'At', 'the', 'top', 'of', 'the', 'headstone', 'there', 'is', 'an', 'engraving', 'of', 'an', 'eagle', 'with', 'its', 'wings', 'spread', 'Just', 'below', 'the', 'eagle', 'the', 'text', 'reads', 'FATHER', 'OF', 'LANCE', 'EUGENE', 'ERIC', 'WADE', 'in', 'capital', 'letters', 'Beneath', 'this', 'inscription', 'there', 'is', 'a', 'smaller', 'text', 'that', 'says', 'Gone', 'But', 'Not', 'Forgotten', 'The', 'central', 'part', 'of', 'the', 'headstone', 'is', 'dedicated', 'to', 'the', 'name', 'HARVEY', 'EUGENE', 'SMITH', 'which', 'is', 'prominently', 'displayed', 'Below', 'the', 'name', 'the', 'dates', 'JUNE', '19', '1935', 'JULY', '3', '1999', 'indicate', 'the', 'birth', 'and', 'death', 'of', 'the', 'individual', 'The', 'headstone', 'appears', 'to', 'be', 'made', 'of', 'a', 'dark', 'polished', 'stone', 'and', 'the', 'text', 'is', 'etched', 'in', 'a', 'lighter', 'color', 'for', 'contrast', 'The', 'background', 'suggests', 'that', 'the', 'headstone', 'is', 'in', 'a', 'cemetery', 'with', 'sunlight', 'casting', 'shadows', 'on', 'it', 'and', 'there', 'are', 'some', 'blurred', 'autumn', 'leaves', 'visible', 'indicating', 'the', 'photo', 'may', 'have', 'been', 'taken', 'outdoors', 'during', 'the', 'fall', 'season', 'The', 'style', 'of', 'the', 'image', 'is', 'a', 'straightforward', 'unembellished', 'photograph']]"
5,6.567356727006217e-79,"['The', 'image', 'features', 'a', 'book', 'cover', 'with', 'a', 'skull', 'and', 'two', 'guns', 'on', 'it', 'The', 'skull', 'is', 'positioned', 'in', 'the', 'center', 'of', 'the', 'cover', 'while', 'the', 'guns', 'are', 'placed', 'on', 'either', 'side', 'of', 'it', 'The', 'skull', 'and', 'guns', 'are', 'the', 'main', 'focus', 'of', 'the', 'cover', 'creating', 'a', 'striking', 'visual', 'effect', 'The', 'book', 'is', 'titled', 'The', 'Sisters', 'Brothers', 'and', 'it', 'appears', 'to', 'be', 'a', 'novel', 'by', 'Patrick', 'deWitt', 's']","[['The', 'image', 'is', 'a', 'graphical', 'representation', 'of', 'a', 'book', 'cover', 'The', 'cover', 'features', 'a', 'stylized', 'illustration', 'with', 'a', 'predominant', 'red', 'background', 'At', 'the', 'center', 'there', 's', 'an', 'image', 'of', 'a', 'skull', 'with', 'two', 'smaller', 'silhouettes', 'of', 'individuals', 'standing', 'in', 'front', 'of', 'it', 'These', 'figures', 'are', 'dressed', 'in', 'black', 'with', 'their', 'faces', 'obscured', 'and', 'they', 'have', 'dark', 'hollow', 'eyes', 'each', 'holding', 'a', 'pistol', 'in', 'their', 'hand', 'The', 'top', 'half', 'of', 'the', 'skull', 'serves', 'as', 'a', 'backdrop', 'to', 'these', 'figures', 'while', 'the', 'bottom', 'half', 'of', 'the', 'skull', 'is', 'not', 'visible', 'creating', 'an', 'impression', 'that', 'the', 'figures', 'are', 'emerging', 'from', 'the', 'darkness', 'of', 'the', 'skull', 'There', 'is', 'text', 'overlaying', 'the', 'image', 'At', 'the', 'top', 'the', 'text', 'reads', 'A', 'bright', 'brutal', 'revision', 'of', 'the', 'Western', 'This', 'is', 'attributed', 'to', 'Gil', 'Adamson', 'Below', 'this', 'in', 'large', 'bold', 'letters', 'is', 'the', 'title', 'THE', 'SISTERS', 'BROTHERS', 'At', 'the', 'bottom', 'of', 'the', 'cover', 'there', 'is', 'additional', 'text', 'stating', 'A', 'NOVEL', 'BY', 'PATRICK', 'DEWITT', 'The', 'type', 'and', 'style', 'of', 'the', 'cover', 'suggest', 'a', 'modern', 'bold', 'design', 'with', 'a', 'clear', 'Western', 'theme', 'tied', 'to', 'the', 'content', 'of', 'the', 'book']]"
6,0.0588536603919031,"['The', 'image', 'features', 'a', 'beautiful', 'woman', 'with', 'long', 'curly', 'hair', 'wearing', 'a', 'black', 'top', 'and', 'a', 'necklace', 'She', 'is', 'smiling', 'and', 'posing', 'for', 'the', 'camera', 'showcasing', 'her', 'necklace', 'and', 'the', 'elegant', 'design', 'of', 'the', 'pendant', 'The', 'woman', 's', 'hair', 'is', 'styled', 'in', 'a', 'way', 'that', 'complements', 'her', 'outfit', 'and', 'overall', 'appearance', 's']","[['The', 'image', 'is', 'a', 'sepia', 'toned', 'portrait', 'of', 'a', 'woman', 'smiling', 'at', 'the', 'camera', 'Her', 'hair', 'is', 'styled', 'in', 'loose', 'curls', 'that', 'fall', 'around', 'her', 'shoulders', 'She', 'has', 'prominent', 'cheekbones', 'and', 'her', 'makeup', 'includes', 'defined', 'eyeliner', 'and', 'mascara', 'The', 'woman', 'is', 'wearing', 'a', 'necklace', 'with', 'a', 'pendant', 'that', 'features', 'an', 'intricate', 'design', 'possibly', 'a', 'filigree', 'pattern', 'The', 'style', 'of', 'the', 'image', 'is', 'reminiscent', 'of', 'traditional', 'portrait', 'photography', 'but', 'the', 'sepia', 'tone', 'gives', 'it', 'a', 'vintage', 'or', 'timeless', 'quality']]"
7,6.191689832903002e-79,"['The', 'image', 'features', 'a', 'young', 'man', 'wearing', 'a', 'red', 'bandana', 'sitting', 'in', 'a', 'room', 'and', 'holding', 'a', 'hammer', 'He', 'appears', 'to', 'be', 'smiling', 'and', 'enjoying', 'the', 'activity', 'The', 'room', 'has', 'a', 'few', 'other', 'objects', 'such', 'as', 'a', 'TV', 'on', 'the', 'right', 'side', 'of', 'the', 'scene', 'a', 'clock', 'on', 'the', 'wall', 'and', 'a', 'chair', 'located', 'in', 'the', 'background', 'Additionally', 'there', 'is', 'a', 'bottle', 'placed', 'near', 'the', 'center', 'of', 'the', 'room', 's']","[['The', 'image', 'is', 'a', 'photograph', 'that', 'appears', 'to', 'capture', 'a', 'young', 'man', 'in', 'a', 'casual', 'indoor', 'setting', 'The', 'man', 'is', 'wearing', 'a', 'sleeveless', 'light', 'blue', 'shirt', 'and', 'a', 'red', 'bandana', 'with', 'a', 'black', 'pattern', 'wrapped', 'around', 'his', 'head', 'He', 'has', 'curly', 'shoulder', 'length', 'brown', 'hair', 'and', 'is', 'looking', 'directly', 'at', 'the', 'camera', 'with', 'a', 'slight', 'smile', 'on', 'his', 'face', 'In', 'his', 'right', 'hand', 'he', 'holds', 'a', 'hammer', 'which', 'is', 'resting', 'on', 'the', 'object', 'he', 'is', 'working', 'on', 'though', 'the', 'object', 'itself', 'is', 'not', 'clearly', 'visible', 'The', 'man', 's', 'posture', 'suggests', 'he', 'is', 'engaged', 'in', 'a', 'hands', 'on', 'activity', 'possibly', 'related', 'to', 'repair', 'or', 'craft', 'In', 'the', 'background', 'there', 'are', 'blurred', 'objects', 'that', 'indicate', 'the', 'setting', 'may', 'be', 'a', 'workshop', 'or', 'a', 'room', 'cluttered', 'with', 'various', 'items', 'We', 'can', 'see', 'what', 'appears', 'to', 'be', 'a', 'poster', 'and', 'some', 'photos', 'pinned', 'to', 'a', 'wall', 'or', 'board', 'but', 'the', 'specific', 'content', 'of', 'these', 'items', 'is', 'indistinct', 'due', 'to', 'the', 'shallow', 'depth', 'of', 'field', 'which', 'keeps', 'the', 'focus', 'on', 'the', 'man', 'in', 'the', 'foreground', 'The', 'style', 'of', 'the', 'photograph', 'seems', 'to', 'be', 'candid', 'with', 'natural', 'lighting', 'giving', 'an', 'impression', 'of', 'an', 'everyday', 'moment', 'captured', 'in', 'a', 'personal', 'space']]"
8,0.006233912281745181,"['The', 'image', 'features', 'a', 'group', 'of', 'three', 'people', 'standing', 'together', 'each', 'holding', 'up', 'a', 'hand', 'to', 'represent', 'a', 'team', 'effort', 'They', 'are', 'positioned', 'in', 'front', 'of', 'a', 'graph', 'or', 'chart', 'which', 'is', 'likely', 'related', 'to', 'manufacturing', 'management', 'The', 'chart', 'is', 'displayed', 'prominently', 'in', 'the', 'background', 'with', 'the', 'people', 'standing', 'in', 'front', 'of', 'it', 'emphasizing', 'their', 'involvement', 'in', 'the', 'process', 's']","[['The', 'image', 'is', 'a', 'graphic', 'illustration', 'with', 'a', 'style', 'that', 'suggests', 'it', 'might', 'be', 'used', 'for', 'business', 'or', 'educational', 'purposes', 'specifically', 'related', 'to', 'manufacturing', 'management', 'At', 'the', 'top', 'of', 'the', 'image', 'there', 'is', 'a', 'bold', 'capitalized', 'text', 'that', 'reads', 'MANUFACTURING', 'MANAGEMENT', 'set', 'against', 'a', 'gray', 'background', 'with', 'a', 'dotted', 'pattern', 'Below', 'the', 'text', 'the', 'main', 'feature', 'of', 'the', 'illustration', 'is', 'a', 'stylized', 'upward', 'pointing', 'arrow', 'symbolizing', 'growth', 'or', 'progress', 'The', 'arrow', 'is', 'black', 'with', 'a', 'blue', 'shadow', 'effect', 'and', 'it', 'has', 'a', 'thick', 'outline', 'It', 'is', 'segmented', 'into', 'three', 'parts', 'each', 'part', 'connected', 'by', 'a', 'zigzag', 'line', 'giving', 'the', 'impression', 'of', 'a', 'graph', 'line', 'The', 'arrowhead', 'is', 'large', 'and', 'solid', 'black', 'Three', 'hands', 'with', 'different', 'skin', 'tones', 'are', 'drawn', 'in', 'a', 'simplified', 'style', 'with', 'no', 'detailing', 'on', 'the', 'sleeves', 'or', 'arms', 'each', 'holding', 'a', 'section', 'of', 'the', 'arrow', 'The', 'hands', 'are', 'depicted', 'with', 'cuffs', 'in', 'three', 'different', 'colors', 'light', 'blue', 'dark', 'blue', 'and', 'red', 'which', 'match', 'the', 'colors', 'of', 'the', 'shirts', 'or', 'jackets', 'worn', 'by', 'the', 'hands', 'respective', 'owners', 'The', 'illustration', 'does', 'not', 'provide', 'additional', 'context', 'to', 'identify', 'the', 'individuals', 'or', 'details', 'other', 'than', 'what', 'is', 'described', 'The', 'overall', 'impression', 'is', 'that', 'of', 'a', 'conceptual', 'representation', 'of', 'teamwork', 'and', 'success', 'in', 'the', 'field', 'of', 'manufacturing', 'management', 'with', 'the', 'ascending', 'arrow', 'indicating', 'positive', 'performance', 'or', 'growth', 'and', 'the', 'hands', 'holding', 'it', 'representing', 'collaboration', 'or', 'support']]"
9,9.212667378470102e-79,"['The', 'image', 'features', 'a', 'woman', 'sitting', 'on', 'a', 'boat', 'in', 'a', 'body', 'of', 'water', 'possibly', 'a', 'river', 'or', 'a', 'lake', 'She', 'is', 'wearing', 'a', 'white', 'dress', 'and', 'appears', 'to', 'be', 'enjoying', 'her', 'time', 'on', 'the', 'boat', 'The', 'boat', 'is', 'adorned', 'with', 'a', 'colorful', 'blanket', 'adding', 'a', 'touch', 'of', 'vibrancy', 'to', 'the', 'scene', 'There', 'are', 'several', 'birds', 'in', 'the', 'scene', 'with', 'one', 'bird', 'flying', 'close', 'to', 'the', 'woman', 'and', 'others', 'scattered', 'around', 'the', 'boat', 'and', 'the', 'water', 'The', 'presence', 'of', 'the', 'birds', 'adds', 'a', 'sense', 'of', 'liveliness', 'to', 'the', 'serene', 'setting', 's']","[['This', 'is', 'a', 'classical', 'style', 'painting', 'depicting', 'a', 'woman', 'lying', 'in', 'a', 'small', 'boat', 'that', 'is', 'adorned', 'with', 'intricate', 'designs', 'and', 'patterns', 'The', 'boat', 'has', 'a', 'decorative', 'prow', 'with', 'a', 'scroll', 'like', 'feature', 'and', 'is', 'partially', 'covered', 'with', 'a', 'richly', 'patterned', 'fabric', 'The', 'woman', 'has', 'long', 'flowing', 'blonde', 'hair', 'and', 'is', 'dressed', 'in', 'a', 'long', 'white', 'garment', 'with', 'sleeves', 'that', 'appear', 'to', 'be', 'of', 'a', 'fine', 'material', 'She', 'is', 'reclining', 'with', 'her', 'upper', 'body', 'propped', 'up', 'by', 'her', 'left', 'arm', 'while', 'her', 'right', 'arm', 'hangs', 'over', 'the', 'side', 'of', 'the', 'boat', 'touching', 'the', 'water', 'Her', 'eyes', 'are', 'open', 'and', 'directed', 'upwards', 'and', 'her', 'expression', 'is', 'one', 'of', 'peaceful', 'resignation', 'or', 'contemplation', 'The', 'boat', 'is', 'set', 'in', 'a', 'calm', 'body', 'of', 'water', 'surrounded', 'by', 'lush', 'vegetation', 'and', 'reeds', 'In', 'the', 'background', 'there', 'is', 'a', 'dense', 'forest', 'that', 'leads', 'to', 'distant', 'hills', 'or', 'mountains', 'The', 'lighting', 'in', 'the', 'painting', 'suggests', 'an', 'overcast', 'sky', 'with', 'soft', 'diffused', 'light', 'illuminating', 'the', 'scene', 'The', 'overall', 'mood', 'of', 'the', 'painting', 'is', 'serene', 'and', 'somewhat', 'melancholic', 'The', 'painting', 'is', 'done', 'in', 'a', 'realistic', 'style', 'with', 'a', 'high', 'level', 'of', 'detail', 'particularly', 'in', 'the', 'rendering', 'of', 'the', 'woman', 's', 'hair', 'and', 'the', 'textures', 'of', 'the', 'fabrics', 'and', 'natural', 'surroundings']]"
